,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome,blackPercentage,americanIndianPercentage,asianPercentage,nativePercentage,otherPercentage,twoOrMorePercentage,hispanicPercentage,whitePercentage,leaving1,leaving2,leaving3,leaving4,leaving5,leaving6,leaving7,leaving8,leaving9,leaving10
308,1400000US17031243400,17031243400,"Census Tract 2434, Cook County, Illinois","Census Tract 2434, Cook County, Illinois",1812,557,,60539.0,11.3,0.0,4.8,0.0,6.1,10.8,21.5,53.1,0.0,0.4,1.8,0.2,4.5,14.2,7.9,26.6,23.3,21.2
309,1400000US17031243500,17031243500,"Census Tract 2435, Cook County, Illinois","Census Tract 2435, Cook County, Illinois",2377,792,,72127.0,17.8,0.0,8.2,0.0,0.9,1.1,8.0,66.0,0.0,0.0,0.0,7.8,3.7,13.6,12.9,35.1,13.8,13.1
310,1400000US17031250200,17031250200,"Census Tract 2502, Cook County, Illinois","Census Tract 2502, Cook County, Illinois",1086,186,,28487.0,57.0,0.0,0.0,0.0,25.3,0.0,39.8,6.5,6.5,3.8,7.5,2.2,16.1,11.8,19.4,8.6,0.0,24.2
311,1400000US17031250300,17031250300,"Census Tract 2503, Cook County, Illinois","Census Tract 2503, Cook County, Illinois",1877,500,,25309.0,80.6,0.0,0.0,0.0,12.2,0.0,23.0,0.0,14.8,18.6,4.8,6.0,11.0,5.2,2.2,1.6,8.6,27.2
312,1400000US17031250400,17031250400,"Census Tract 2504, Cook County, Illinois","Census Tract 2504, Cook County, Illinois",1690,407,,31393.0,81.3,0.0,0.0,0.0,0.0,0.0,18.7,0.0,6.4,0.0,16.2,10.1,13.8,13.5,0.0,21.6,3.4,15.0
313,1400000US17031250500,17031250500,"Census Tract 2505, Cook County, Illinois","Census Tract 2505, Cook County, Illinois",3903,646,,47601.0,21.8,0.0,5.1,0.0,24.9,0.0,40.4,32.7,8.2,0.0,6.7,11.0,41.0,6.8,10.1,2.5,0.0,13.8
314,1400000US17031250600,17031250600,"Census Tract 2506, Cook County, Illinois","Census Tract 2506, Cook County, Illinois",1743,356,,26407.0,93.5,0.0,0.0,0.0,0.0,0.0,3.4,3.1,0.0,0.0,0.0,11.2,4.5,21.3,11.8,32.9,2.2,16.0
315,1400000US17031250700,17031250700,"Census Tract 2507, Cook County, Illinois","Census Tract 2507, Cook County, Illinois",2134,445,,30828.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,9.9,5.6,8.5,0.0,0.0,44.5,0.0,27.6
316,1400000US17031250800,17031250800,"Census Tract 2508, Cook County, Illinois","Census Tract 2508, Cook County, Illinois",872,151,,30803.0,94.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.3,0.0,10.6,8.6,11.3,0.0,6.6,28.5,0.0,31.1
317,1400000US17031251000,17031251000,"Census Tract 2510, Cook County, Illinois","Census Tract 2510, Cook County, Illinois",342,102,,26466.0,84.3,0.0,0.0,0.0,15.7,0.0,15.7,0.0,0.0,11.8,0.0,15.7,0.0,23.5,5.9,12.7,0.0,30.4
318,1400000US17031251100,17031251100,"Census Tract 2511, Cook County, Illinois","Census Tract 2511, Cook County, Illinois",1186,301,,24451.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.6,9.3,17.9,13.3,0.0,0.0,10.0,8.0,26.9
319,1400000US17031251200,17031251200,"Census Tract 2512, Cook County, Illinois","Census Tract 2512, Cook County, Illinois",1579,342,,23796.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.3,12.6,2.9,0.0,9.9,10.5,15.2,36.0
320,1400000US17031251300,17031251300,"Census Tract 2513, Cook County, Illinois","Census Tract 2513, Cook County, Illinois",1528,427,,24643.0,82.7,0.0,0.0,0.0,6.8,0.0,12.9,6.6,4.7,0.0,4.4,18.0,0.0,9.8,8.9,19.7,5.6,28.8
321,1400000US17031251400,17031251400,"Census Tract 2514, Cook County, Illinois","Census Tract 2514, Cook County, Illinois",1614,576,,30858.0,96.9,0.0,0.0,0.0,0.0,0.0,0.9,2.3,7.1,4.7,1.6,1.2,7.5,37.0,4.5,8.9,0.9,26.7
322,1400000US17031251500,17031251500,"Census Tract 2515, Cook County, Illinois","Census Tract 2515, Cook County, Illinois",1343,701,,23353.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.7,3.7,2.0,4.7,23.5,17.8,16.7,0.0,22.8
323,1400000US17031251600,17031251600,"Census Tract 2516, Cook County, Illinois","Census Tract 2516, Cook County, Illinois",1163,520,,22382.0,100.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,27.7,11.9,0.0,9.2,5.0,8.5,0.0,2.9,6.3,28.5
324,1400000US17031251700,17031251700,"Census Tract 2517, Cook County, Illinois","Census Tract 2517, Cook County, Illinois",390,52,,30640.0,90.4,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,9.6,0.0,0.0,0.0,21.2,0.0,0.0,9.6,59.6
325,1400000US17031251800,17031251800,"Census Tract 2518, Cook County, Illinois","Census Tract 2518, Cook County, Illinois",1557,321,,24148.0,94.7,0.0,0.0,0.0,0.0,0.0,0.0,5.3,12.1,7.5,14.0,0.0,0.0,9.7,6.9,5.0,0.0,44.9
326,1400000US17031251900,17031251900,"Census Tract 2519, Cook County, Illinois","Census Tract 2519, Cook County, Illinois",1256,495,,21403.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.4,6.1,0.0,0.0,9.3,8.5,0.0,0.0,54.7
327,1400000US17031252000,17031252000,"Census Tract 2520, Cook County, Illinois","Census Tract 2520, Cook County, Illinois",2176,916,55.0,22739.0,97.5,0.0,0.0,0.0,0.0,0.0,1.3,1.2,0.0,8.4,4.7,0.0,6.0,14.2,0.0,13.6,1.2,51.9
