,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome
997,1400000US17031818300,17031818300,"Census Tract 8183, Cook County, Illinois","Census Tract 8183, Cook County, Illinois",2741,150,,31748.0
998,1400000US17031818401,17031818401,"Census Tract 8184.01, Cook County, Illinois","Census Tract 8184.01, Cook County, Illinois",2082,110,,40291.0
999,1400000US17031818402,17031818402,"Census Tract 8184.02, Cook County, Illinois","Census Tract 8184.02, Cook County, Illinois",1640,51,,48866.0
1000,1400000US17031818500,17031818500,"Census Tract 8185, Cook County, Illinois","Census Tract 8185, Cook County, Illinois",2432,61,,50917.0
1001,1400000US17031818600,17031818600,"Census Tract 8186, Cook County, Illinois","Census Tract 8186, Cook County, Illinois",2369,126,,45660.0
1002,1400000US17031818700,17031818700,"Census Tract 8187, Cook County, Illinois","Census Tract 8187, Cook County, Illinois",1905,226,,50149.0
1003,1400000US17031818800,17031818800,"Census Tract 8188, Cook County, Illinois","Census Tract 8188, Cook County, Illinois",2643,262,,47813.0
1004,1400000US17031818900,17031818900,"Census Tract 8189, Cook County, Illinois","Census Tract 8189, Cook County, Illinois",2241,212,,47282.0
1005,1400000US17031819000,17031819000,"Census Tract 8190, Cook County, Illinois","Census Tract 8190, Cook County, Illinois",2005,433,,81186.0
1006,1400000US17031819100,17031819100,"Census Tract 8191, Cook County, Illinois","Census Tract 8191, Cook County, Illinois",2085,173,,33869.0
1007,1400000US17031819200,17031819200,"Census Tract 8192, Cook County, Illinois","Census Tract 8192, Cook County, Illinois",2715,133,,32790.0
1008,1400000US17031819300,17031819300,"Census Tract 8193, Cook County, Illinois","Census Tract 8193, Cook County, Illinois",1408,47,,41139.0
1009,1400000US17031819400,17031819400,"Census Tract 8194, Cook County, Illinois","Census Tract 8194, Cook County, Illinois",2993,244,,38085.0
1010,1400000US17031819500,17031819500,"Census Tract 8195, Cook County, Illinois","Census Tract 8195, Cook County, Illinois",1615,387,,46433.0
1011,1400000US17031819600,17031819600,"Census Tract 8196, Cook County, Illinois","Census Tract 8196, Cook County, Illinois",1672,464,,80833.0
1012,1400000US17031819700,17031819700,"Census Tract 8197, Cook County, Illinois","Census Tract 8197, Cook County, Illinois",2663,565,,87978.0
1013,1400000US17031819801,17031819801,"Census Tract 8198.01, Cook County, Illinois","Census Tract 8198.01, Cook County, Illinois",2599,638,,77298.0
1014,1400000US17031819802,17031819802,"Census Tract 8198.02, Cook County, Illinois","Census Tract 8198.02, Cook County, Illinois",1209,138,,76103.0
1015,1400000US17031819900,17031819900,"Census Tract 8199, Cook County, Illinois","Census Tract 8199, Cook County, Illinois",1517,361,,87625.0
1016,1400000US17031820000,17031820000,"Census Tract 8200, Cook County, Illinois","Census Tract 8200, Cook County, Illinois",819,137,,100923.0
1017,1400000US17031820101,17031820101,"Census Tract 8201.01, Cook County, Illinois","Census Tract 8201.01, Cook County, Illinois",2723,321,,78456.0
1018,1400000US17031820103,17031820103,"Census Tract 8201.03, Cook County, Illinois","Census Tract 8201.03, Cook County, Illinois",1824,136,,40793.0
1019,1400000US17031820104,17031820104,"Census Tract 8201.04, Cook County, Illinois","Census Tract 8201.04, Cook County, Illinois",2072,118,,35585.0
1020,1400000US17031820201,17031820201,"Census Tract 8202.01, Cook County, Illinois","Census Tract 8202.01, Cook County, Illinois",3979,137,,65046.0
1021,1400000US17031820202,17031820202,"Census Tract 8202.02, Cook County, Illinois","Census Tract 8202.02, Cook County, Illinois",1653,7,,27336.0
1022,1400000US17031820300,17031820300,"Census Tract 8203, Cook County, Illinois","Census Tract 8203, Cook County, Illinois",2248,155,,32222.0
1023,1400000US17031820400,17031820400,"Census Tract 8204, Cook County, Illinois","Census Tract 8204, Cook County, Illinois",2278,141,,23343.0
1024,1400000US17031820501,17031820501,"Census Tract 8205.01, Cook County, Illinois","Census Tract 8205.01, Cook County, Illinois",3311,44,,33673.0
1025,1400000US17031820502,17031820502,"Census Tract 8205.02, Cook County, Illinois","Census Tract 8205.02, Cook County, Illinois",1951,89,,35956.0
1026,1400000US17031820603,17031820603,"Census Tract 8206.03, Cook County, Illinois","Census Tract 8206.03, Cook County, Illinois",2519,112,,36081.0
1027,1400000US17031820604,17031820604,"Census Tract 8206.04, Cook County, Illinois","Census Tract 8206.04, Cook County, Illinois",1635,46,,26572.0
1028,1400000US17031820605,17031820605,"Census Tract 8206.05, Cook County, Illinois","Census Tract 8206.05, Cook County, Illinois",1984,218,,30158.0
1029,1400000US17031820606,17031820606,"Census Tract 8206.06, Cook County, Illinois","Census Tract 8206.06, Cook County, Illinois",1904,65,,41259.0
1030,1400000US17031820700,17031820700,"Census Tract 8207, Cook County, Illinois","Census Tract 8207, Cook County, Illinois",3374,188,,36402.0
1031,1400000US17031820800,17031820800,"Census Tract 8208, Cook County, Illinois","Census Tract 8208, Cook County, Illinois",1842,212,43.4,32055.0
1032,1400000US17031820901,17031820901,"Census Tract 8209.01, Cook County, Illinois","Census Tract 8209.01, Cook County, Illinois",2397,160,,33221.0
1033,1400000US17031820902,17031820902,"Census Tract 8209.02, Cook County, Illinois","Census Tract 8209.02, Cook County, Illinois",2229,232,,33909.0
1034,1400000US17031821001,17031821001,"Census Tract 8210.01, Cook County, Illinois","Census Tract 8210.01, Cook County, Illinois",2173,164,,32795.0
1035,1400000US17031821002,17031821002,"Census Tract 8210.02, Cook County, Illinois","Census Tract 8210.02, Cook County, Illinois",2591,125,,32296.0
1036,1400000US17031821101,17031821101,"Census Tract 8211.01, Cook County, Illinois","Census Tract 8211.01, Cook County, Illinois",1793,123,,35196.0
1037,1400000US17031821102,17031821102,"Census Tract 8211.02, Cook County, Illinois","Census Tract 8211.02, Cook County, Illinois",1832,186,,35893.0
1038,1400000US17031821200,17031821200,"Census Tract 8212, Cook County, Illinois","Census Tract 8212, Cook County, Illinois",3196,585,,26374.0
1039,1400000US17031821300,17031821300,"Census Tract 8213, Cook County, Illinois","Census Tract 8213, Cook County, Illinois",2513,193,,27280.0
1040,1400000US17031821401,17031821401,"Census Tract 8214.01, Cook County, Illinois","Census Tract 8214.01, Cook County, Illinois",1666,105,,32128.0
1041,1400000US17031821402,17031821402,"Census Tract 8214.02, Cook County, Illinois","Census Tract 8214.02, Cook County, Illinois",1306,117,,38036.0
1042,1400000US17031821500,17031821500,"Census Tract 8215, Cook County, Illinois","Census Tract 8215, Cook County, Illinois",624,90,,29574.0
1043,1400000US17031821600,17031821600,"Census Tract 8216, Cook County, Illinois","Census Tract 8216, Cook County, Illinois",1900,158,,42162.0
1044,1400000US17031821700,17031821700,"Census Tract 8217, Cook County, Illinois","Census Tract 8217, Cook County, Illinois",2227,330,53.8,53493.0
1045,1400000US17031821800,17031821800,"Census Tract 8218, Cook County, Illinois","Census Tract 8218, Cook County, Illinois",2874,392,,42264.0
1046,1400000US17031821900,17031821900,"Census Tract 8219, Cook County, Illinois","Census Tract 8219, Cook County, Illinois",2374,273,68.2,37213.0
1047,1400000US17031822000,17031822000,"Census Tract 8220, Cook County, Illinois","Census Tract 8220, Cook County, Illinois",2067,120,,32425.0
1048,1400000US17031822101,17031822101,"Census Tract 8221.01, Cook County, Illinois","Census Tract 8221.01, Cook County, Illinois",2191,192,,39875.0
1049,1400000US17031822102,17031822102,"Census Tract 8221.02, Cook County, Illinois","Census Tract 8221.02, Cook County, Illinois",2364,336,,35988.0
1050,1400000US17031822200,17031822200,"Census Tract 8222, Cook County, Illinois","Census Tract 8222, Cook County, Illinois",1932,236,,44735.0
1051,1400000US17031822301,17031822301,"Census Tract 8223.01, Cook County, Illinois","Census Tract 8223.01, Cook County, Illinois",1567,28,,38309.0
1052,1400000US17031822302,17031822302,"Census Tract 8223.02, Cook County, Illinois","Census Tract 8223.02, Cook County, Illinois",1839,92,,37397.0
1053,1400000US17031822400,17031822400,"Census Tract 8224, Cook County, Illinois","Census Tract 8224, Cook County, Illinois",2357,149,,31255.0
1054,1400000US17031822500,17031822500,"Census Tract 8225, Cook County, Illinois","Census Tract 8225, Cook County, Illinois",1932,220,,44956.0
1055,1400000US17031822601,17031822601,"Census Tract 8226.01, Cook County, Illinois","Census Tract 8226.01, Cook County, Illinois",2232,97,,47439.0
1056,1400000US17031822602,17031822602,"Census Tract 8226.02, Cook County, Illinois","Census Tract 8226.02, Cook County, Illinois",3099,371,,45525.0
1057,1400000US17031822701,17031822701,"Census Tract 8227.01, Cook County, Illinois","Census Tract 8227.01, Cook County, Illinois",2045,294,,42245.0
1058,1400000US17031822702,17031822702,"Census Tract 8227.02, Cook County, Illinois","Census Tract 8227.02, Cook County, Illinois",1434,147,,46286.0
1059,1400000US17031822801,17031822801,"Census Tract 8228.01, Cook County, Illinois","Census Tract 8228.01, Cook County, Illinois",1699,134,,47182.0
1060,1400000US17031822802,17031822802,"Census Tract 8228.02, Cook County, Illinois","Census Tract 8228.02, Cook County, Illinois",1544,135,,41569.0
1061,1400000US17031822900,17031822900,"Census Tract 8229, Cook County, Illinois","Census Tract 8229, Cook County, Illinois",926,40,,32632.0
1062,1400000US17031823001,17031823001,"Census Tract 8230.01, Cook County, Illinois","Census Tract 8230.01, Cook County, Illinois",2458,269,,37549.0
1063,1400000US17031823002,17031823002,"Census Tract 8230.02, Cook County, Illinois","Census Tract 8230.02, Cook County, Illinois",2616,61,,38542.0
1064,1400000US17031823101,17031823101,"Census Tract 8231.01, Cook County, Illinois","Census Tract 8231.01, Cook County, Illinois",1929,62,,32033.0
1065,1400000US17031823102,17031823102,"Census Tract 8231.02, Cook County, Illinois","Census Tract 8231.02, Cook County, Illinois",1636,148,,30467.0
1066,1400000US17031823200,17031823200,"Census Tract 8232, Cook County, Illinois","Census Tract 8232, Cook County, Illinois",2182,128,,34888.0
1067,1400000US17031823302,17031823302,"Census Tract 8233.02, Cook County, Illinois","Census Tract 8233.02, Cook County, Illinois",2758,162,,33834.0
1068,1400000US17031823303,17031823303,"Census Tract 8233.03, Cook County, Illinois","Census Tract 8233.03, Cook County, Illinois",2116,285,,37382.0
1069,1400000US17031823304,17031823304,"Census Tract 8233.04, Cook County, Illinois","Census Tract 8233.04, Cook County, Illinois",2649,117,59.1,34284.0
1070,1400000US17031823400,17031823400,"Census Tract 8234, Cook County, Illinois","Census Tract 8234, Cook County, Illinois",2306,339,,31043.0
1071,1400000US17031823500,17031823500,"Census Tract 8235, Cook County, Illinois","Census Tract 8235, Cook County, Illinois",2013,155,,28291.0
1072,1400000US17031823602,17031823602,"Census Tract 8236.02, Cook County, Illinois","Census Tract 8236.02, Cook County, Illinois",3046,241,,38082.0
1073,1400000US17031823603,17031823603,"Census Tract 8236.03, Cook County, Illinois","Census Tract 8236.03, Cook County, Illinois",910,53,,21882.0
1074,1400000US17031823604,17031823604,"Census Tract 8236.04, Cook County, Illinois","Census Tract 8236.04, Cook County, Illinois",1747,166,,49236.0
1075,1400000US17031823605,17031823605,"Census Tract 8236.05, Cook County, Illinois","Census Tract 8236.05, Cook County, Illinois",1909,97,,35950.0
1076,1400000US17031823702,17031823702,"Census Tract 8237.02, Cook County, Illinois","Census Tract 8237.02, Cook County, Illinois",3040,233,,36878.0
1077,1400000US17031823703,17031823703,"Census Tract 8237.03, Cook County, Illinois","Census Tract 8237.03, Cook County, Illinois",3366,268,,30660.0
1078,1400000US17031823704,17031823704,"Census Tract 8237.04, Cook County, Illinois","Census Tract 8237.04, Cook County, Illinois",2034,28,,40000.0
